Papyri.info URL	Main identifier	Other identifiers	Title	Location	Date	Languages	Image URL	Direct image URLs	Filesystem identifier
https://papyri.info/ddbdp/rom.mil.rec;1;112	rom.mil.rec 1 112	P.Dura 79,P.CtYBR inv. DP 52,yale 4400520000	Fragmentary Letter	Dura - Europos	210 CE - 230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771870	https://imageserver.library.yale.edu/digcoll:2773952/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773953/a/b/15000.jpg	rom.mil.rec_1_112
https://papyri.info/ddbdp/rom.mil.rec;1;113	rom.mil.rec 1 113	ChLA 7 332,P.CtYBR inv. DP 51,yale 4400510000	Fragments de lettres	Dura - Europos	210 CE - 230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771454	https://imageserver.library.yale.edu/digcoll:2773889/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772882/a/b/15000.jpg	rom.mil.rec_1_113
https://papyri.info/ddbdp/rom.mil.rec;1;114	rom.mil.rec 1 114	P.Dura 59,P.CtYBR inv. DP 7 qua,yale 4400070000	Letter from a Governor of Syria	Dura - Europos	241 CE	la, la	http://hdl.handle.net/10079/digcoll/2771269	https://imageserver.library.yale.edu/digcoll:2772774/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772622/a/b/15000.jpg	rom.mil.rec_1_114
https://papyri.info/ddbdp/rom.mil.rec;1;115	rom.mil.rec 1 115	P.Dura 80,P.CtYBR inv. DP 59,yale 4400590000	Fragments of Letters	Dura - Europos	235 CE - 245 CE	la, la	http://hdl.handle.net/10079/digcoll/2771754	https://imageserver.library.yale.edu/digcoll:2772965/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772968/a/b/15000.jpg	rom.mil.rec_1_115
https://papyri.info/ddbdp/rom.mil.rec;1;116	rom.mil.rec 1 116	P.Dura 130,P.CtYBR inv. DP 60,yale 4400600000	Labels	Dura - Europos	215 CE - 245 CE	la, la	http://hdl.handle.net/10079/digcoll/2771524	https://imageserver.library.yale.edu/digcoll:2773890/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772761/a/b/15000.jpg	rom.mil.rec_1_116
https://papyri.info/ddbdp/rom.mil.rec;1;117	rom.mil.rec 1 117	P.Dura 54,P.CtYBR inv. DP 2 qua,yale 4400020000	The Feriale Duranum	Dura - Europos	225 CE - 235 CE	la, la	http://hdl.handle.net/10079/digcoll/2771433	https://imageserver.library.yale.edu/digcoll:2772767/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773841/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773843/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772610/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772613/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773842/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773844/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772772/a/b/15000.jpg	rom.mil.rec_1_117
https://papyri.info/ddbdp/rom.mil.rec;1;118	rom.mil.rec 1 118	P.Dura 134,P.CtYBR inv. DP 50,yale 4400500000	Latin Fragment	Dura - Europos	220 CE - 222 CE	la, la	http://hdl.handle.net/10079/digcoll/2771531	https://imageserver.library.yale.edu/digcoll:2773888/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772758/a/b/15000.jpg	rom.mil.rec_1_118
https://papyri.info/ddbdp/rom.mil.rec;1;119	rom.mil.rec 1 119	P.Dura 135,P.CtYBR inv. DP 61,yale 4400610000	Latin Fragment	Dura - Europos	210 CE - 230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771759	https://imageserver.library.yale.edu/digcoll:2773943/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773019/a/b/15000.jpg	rom.mil.rec_1_119
https://papyri.info/ddbdp/rom.mil.rec;1;120	rom.mil.rec 1 120	P.Dura 142,P.CtYBR inv. DP 39(A),yale 4400394100	Latin Fragment	Dura - Europos	220 CE - 230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771522	https://imageserver.library.yale.edu/digcoll:2772656/a/b/15000.jpg	rom.mil.rec_1_120
https://papyri.info/ddbdp/rom.mil.rec;1;121	rom.mil.rec 1 121	P.Dura 143,P.CtYBR inv. DP 56,yale 4400560000	Latin Fragment	Dura - Europos	221 CE - 242 CE	la, la	http://hdl.handle.net/10079/digcoll/2771693	https://imageserver.library.yale.edu/digcoll:2772931/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772928/a/b/15000.jpg	rom.mil.rec_1_121
https://papyri.info/ddbdp/rom.mil.rec;1;122	rom.mil.rec 1 122	P.Dura 136,P.CtYBR inv. DP 78,yale 4400780000	Latin Fragment	Dura - Europos	230 CE	la, la	http://hdl.handle.net/10079/digcoll/2771779	https://imageserver.library.yale.edu/digcoll:2772969/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773032/a/b/15000.jpg	rom.mil.rec_1_122
https://papyri.info/ddbdp/rom.mil.rec;1;123	rom.mil.rec 1 123	P.Dura 133,P.CtYBR inv. DP 66,yale 4400660000	Latin Fragment	Dura - Europos	211 CE - 238 CE	la, la	http://hdl.handle.net/10079/digcoll/2771756	https://imageserver.library.yale.edu/digcoll:2773918/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773919/a/b/15000.jpg	rom.mil.rec_1_123
https://papyri.info/ddbdp/rom.mil.rec;1;124	rom.mil.rec 1 124	P.Dura 145,P.CtYBR inv. DP 80,yale 4400800000	Latin Fragment	Dura - Europos	208 CE - 256 CE	la, la	http://hdl.handle.net/10079/digcoll/2771667	https://imageserver.library.yale.edu/digcoll:2772883/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772885/a/b/15000.jpg	rom.mil.rec_1_124
https://papyri.info/ddbdp/rom.mil.rec;1;125	rom.mil.rec 1 125	P.Dura 137,P.CtYBR inv. DP 65(B),yale 4400654200	Greek Fragments	Dura - Europos	201 CE - 300 CE	grc,  grc,  la, la	http://hdl.handle.net/10079/digcoll/2771878	https://imageserver.library.yale.edu/digcoll:2773954/a/b/15000.jpg	rom.mil.rec_1_125
https://papyri.info/ddbdp/rom.mil.rec;1;126	rom.mil.rec 1 126	P.Dura 138,P.CtYBR inv. DP 116,yale 4401160000	Opisthograph Fragment	Dura - Europos	236 CE - 256 CE	la, la	http://hdl.handle.net/10079/digcoll/2771664	https://imageserver.library.yale.edu/digcoll:2773929/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772899/a/b/15000.jpg	rom.mil.rec_1_126
https://papyri.info/ddbdp/rom.mil.rec;1;127	rom.mil.rec 1 127	P.Dura 139,P.CtYBR inv. DP 113,yale 4401130000	Opisthograph Fragment	Dura - Europos	208 CE - 240 CE	la, la	http://hdl.handle.net/10079/digcoll/2771659	https://imageserver.library.yale.edu/digcoll:2773010/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2772916/a/b/15000.jpg	rom.mil.rec_1_127
https://papyri.info/ddbdp/rom.mil.rec;1;128	rom.mil.rec 1 128	P.Dura 146,P.CtYBR inv. DPg 18,yale 3100180000	Greek Fragment	Dura - Europos	201 CE - 300 CE	grc,  grc,  la, la	http://hdl.handle.net/10079/digcoll/2771871	https://imageserver.library.yale.edu/digcoll:2773978/a/b/15000.jpg,https://imageserver.library.yale.edu/digcoll:2773004/a/b/15000.jpg	rom.mil.rec_1_128
